Hours,Lifetime Hourly Data: System power generated (kW),MW
691.5,68.4713,0.0684713
692.5,-7.08862,0
693.5,-7.08862,0
694.5,-7.08862,0
695.5,-7.08862,0
696.5,-7.08862,0
697.5,-7.08862,0
698.5,-7.08862,0
699.5,-7.08862,0
700.5,-7.08862,0
701.5,-7.08862,0
702.5,2564.64,2.56464
703.5,8519.47,8.51947
704.5,19535.1,19.5351
705.5,19341.2,19.3412
706.5,37685.1,37.6851
707.5,38827,38.827
708.5,54503.4,54.5034
709.5,54503.4,54.5034
710.5,47908.2,47.9082
711.5,35246.1,35.2461
712.5,27140.2,27.1402
713.5,15599.9,15.5999
714.5,4769.55,4.76955
715.5,66.8391,0.0668391
716.5,-7.08862,0
717.5,-7.08862,0
718.5,-7.08862,0
719.5,-7.08862,0
720.5,-7.08862,0
721.5,-7.08862,0
722.5,-7.08862,0
723.5,-7.08862,0
724.5,-7.08862,0
725.5,-7.08862,0
726.5,2587.86,2.58786
727.5,12058.3,12.0583
728.5,23181.7,23.1817
729.5,32510.1,32.5101
730.5,36073.4,36.0734
731.5,50340.2,50.3402
732.5,46878.1,46.8781
733.5,54503.4,54.5034
734.5,35427.7,35.4277
735.5,31480.2,31.4802
736.5,11439.5,11.4395
737.5,3114.41,3.11441
738.5,1034.29,1.03429
739.5,-7.08862,0
740.5,-7.08862,0
741.5,-7.08862,0
742.5,-7.08862,0
743.5,-7.08862,0
744.5,-7.08862,0
745.5,-7.08862,0
746.5,-7.08862,0
747.5,-7.08862,0
748.5,-7.08862,0
749.5,-7.08862,0
750.5,3827.31,3.82731
751.5,6412.85,6.41285
752.5,7640.76,7.64076
753.5,9978.73,9.97873
754.5,20632.6,20.6326
755.5,26052.6,26.0526
756.5,26230.3,26.2303
757.5,33536.1,33.5361
758.5,21381.6,21.3816
759.5,23026.2,23.0262
760.5,18431.8,18.4318
761.5,10366.4,10.3664
762.5,2813.32,2.81332
763.5,-7.08862,0
764.5,-7.08862,0
765.5,-7.08862,0
766.5,-7.08862,0
767.5,-7.08862,0
768.5,-7.08862,0
769.5,-7.08862,0
770.5,-7.08862,0
771.5,-7.08862,0
